Id,lotArea,quality,condition,BsmtSF,floorOneSF,floorTwoSF,bsmtFullBath,noRooms,firePlaces,garageCars,woodDeckSF,salePrice,,Intercept,-120921
Home 1,11920,7,5,831,831,828,0,8,0,2,144," 198,485.20 ",,BsmtSF,19.8187
Home 2,9800,5,5,816,1012,0,0,5,0,1,121," 100,690.77 ",,bsmtFullBath,13428.4
Home 3,15410,6,6,1208,1494,0,1,7,2,2,296," 201,608.38 ",,condition,3033
Home 4,9900,5,5,1209,1209,0,1,6,0,2,0," 148,923.38 ",,firePlaces,4869.4
Home 5,9680,5,6,1510,1510,0,1,6,0,2,0," 172,045.29 ",,floorOneSF,47.2156
Home 6,10600,6,5,533,1131,644,0,8,0,2,0," 169,809.94 ",,floorTwoSF,41.027
Home 7,13260,5,6,1728,1728,0,2,10,0,0,0," 168,760.76 ",,garageCars,17243.4
Home 8,9724,5,7,1140,1929,532,0,7,2,2,0," 206,113.55 ",,lotArea,0.4019
Home 9,17360,6,6,782,1019,537,0,6,1,2,0," 174,825.20 ",,noRooms,430.4
Home 10,6000,6,7,780,780,636,0,6,0,1,221," 143,917.33 ",,quality,23831.7
,,,,,,,,,,,,,,woodDeckSF,34.8805
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Id,Estimated Prices,,,
,,,,,,,,0.7813,,,Home 1," $198,485.20 ",,,
,,,,,,,,0.2187,,,Home 2," $100,690.77 ",,,
,,,,,,,,,,,Home 3," $201,608.38 ",,,
,,,,,,,,,,,Home 4," $148,923.38 ",,,
,,,,,,,,,,,Home 5," $172,045.29 ",,,
,,,,,,,,,,,Home 6," $169,809.94 ",,,
,,,,,,,,,,,Home 7," $168,760.76 ",,,
,,,,,,,,,,,Home 8," $206,113.55 ",,,
,,,,,,,,,,,Home 9," $174,825.20 ",,,
,,,,,,,,,,,Home 10," $143,917.33 ",,,
